input,event
Go to gym for 2 hours tomorrow morning,1
Schedule a meeting with john at 2pm tomorrow for 1 hour,1
Weather is nice today,0
Meeting with John at 2pm to discuss the new project,1
Go to the gym at 5pm to do some cardio,1
Study for the exam at 7pm,1
Go to the supermarket at 8pm to buy some groceries,1
Watch a movie at 9pm,1
Go to the gym at 10pm to do some weight lifting,1
I want to study,0
I want to go to the gym,0
I want to go to the supermarket,0
Attend a conference at 10am tomorrow,1
Pick up dry cleaning at 4pm today,1
Prepare dinner at 6pm,1
Have a dentist appointment at 3pm next Monday,1
Walk the dog at 7am tomorrow,1
Take the car to the mechanic at 9am next Thursday,1
Meet friends for lunch at 12pm next Saturday,1
Watch TV series at home,0
Read a book,0
Listen to music,0
Play video games,0
Do some gardening,0
Go for a walk,0
Attend the webinar on AI,0
Cook dinner for tonight,0
Finish the report by 5pm,1
Go to the library to borrow some books,0
Have a phone call with the client at 10am,1
Take a nap in the afternoon,0
